133,109,236,172,1.000000
129,109,232,172,0.978715
124,109,227,172,0.985148
119,109,222,172,0.984054
116,109,219,172,0.973420
111,107,214,170,0.964954
107,107,210,170,0.951052
102,106,205,169,0.946814
98,106,201,169,0.944894
93,105,196,168,0.945582
88,104,191,167,0.936661
83,104,186,167,0.918063
77,102,180,165,0.955352
72,102,175,165,0.894326
67,101,170,164,0.957742
62,100,165,163,0.966230
57,99,160,162,0.882148
52,99,155,162,0.898817
48,99,151,162,0.924247
43,99,146,162,0.919415
37,99,140,162,0.890244
32,97,135,160,0.917702
25,98,128,161,0.900168
18,96,121,159,0.927770
12,97,115,160,0.827907
6,97,109,160,0.774525
1,98,104,161,0.764210
-4,100,99,163,0.771454
-11,101,92,164,0.611392
-17,103,86,166,0.609612
-24,104,79,167,0.576772
-29,106,74,169,0.549359
-36,107,67,170,0.534946
-43,108,60,171,0.527589
-47,108,56,171,0.521531
-49,109,54,172,0.510073
-48,110,53,172,0.512856
-49,110,52,172,0.506923
-49,110,52,172,0.501470
-49,110,53,172,0.503415
-50,110,52,172,0.501530
-49,110,53,172,0.495977
-47,108,56,170,0.504067
-46,107,57,169,0.508829
-44,106,59,168,0.522134
-42,105,61,167,0.532488
-39,104,64,166,0.533940
-37,102,66,164,0.554091
-34,102,69,164,0.556687
-31,100,72,162,0.551340
-29,100,74,162,0.554546
-28,98,75,160,0.567875
-25,97,78,159,0.570948
-22,96,81,158,0.570072
-19,94,84,156,0.588271
-12,93,91,155,0.659900
-7,91,97,154,0.688706
1,90,105,153,0.759141
6,89,110,152,0.666497
11,88,115,151,0.636598
16,87,120,150,0.644680
20,87,124,150,0.707919
27,86,131,149,0.653597
33,86,137,149,0.645638
39,86,143,149,0.612024
45,87,149,150,0.614118
50,87,154,150,0.598651
54,88,158,151,0.611261
53,90,157,153,0.706485
53,90,157,153,0.674304
54,91,158,154,0.641284
54,93,158,156,0.640123
55,94,159,157,0.637707
56,95,160,158,0.645129
58,97,162,160,0.636452
58,98,162,161,0.655220
57,99,161,162,0.634029
57,100,161,163,0.629297
56,101,160,164,0.634882
56,101,160,164,0.662495
56,103,160,166,0.640885
58,104,162,167,0.632271
59,105,163,168,0.698449
59,107,163,170,0.769794
58,107,162,170,0.780564
60,108,164,171,0.754986
58,109,162,172,0.784293
58,109,162,172,0.705334
58,110,162,173,0.729432
58,111,162,174,0.681740
57,112,161,175,0.683920
56,113,160,176,0.657510
55,113,159,176,0.616880
55,115,159,178,0.622621
54,115,158,178,0.604963
55,117,159,180,0.622593
55,117,159,180,0.641846
58,118,162,181,0.645626
58,119,162,182,0.628711
61,120,165,183,0.645646
62,122,166,185,0.626102
64,122,168,185,0.626025
66,124,170,187,0.633570
68,123,172,186,0.624984
69,124,173,187,0.641236
74,126,178,189,0.604334
78,126,182,189,0.628466
85,128,189,191,0.642379
87,129,191,192,0.631636
92,130,196,193,0.754426
94,131,198,194,0.714581
97,131,201,194,0.597581
101,133,205,196,0.603591
105,134,209,197,0.600533
110,135,214,198,0.632799
115,137,219,200,0.656084
118,137,222,200,0.664189
124,139,228,202,0.660394
128,139,232,202,0.734000
131,140,235,203,0.726560
135,140,239,203,0.663214
138,141,242,204,0.649513
142,141,246,204,0.622431
146,142,250,205,0.606282
149,143,253,206,0.615410
153,143,257,206,0.572957
157,144,261,207,0.569490
160,144,264,207,0.571855
163,146,267,209,0.611366
168,147,272,210,0.663918
171,148,275,211,0.644291
178,149,282,213,0.642756
181,150,284,213,0.608503
185,151,288,214,0.611486
189,151,292,214,0.615728
193,152,296,215,0.620434
197,152,300,215,0.597216
202,153,305,216,0.593580
202,154,305,217,0.595407
205,155,308,218,0.582375
205,157,308,220,0.629692
207,155,310,218,0.623834
209,157,312,220,0.615176
209,158,312,221,0.615585
212,158,315,221,0.638257
212,160,316,223,0.666749
214,160,318,223,0.675954
214,161,318,224,0.683393
213,162,317,225,0.656678
213,163,317,226,0.677665
212,165,316,228,0.665654
211,165,315,228,0.645481
210,167,314,230,0.653971
209,168,313,231,0.634639
208,170,312,233,0.640830
207,171,311,234,0.644887
207,172,312,235,0.644632
205,174,310,237,0.567159
205,176,310,239,0.585357
203,176,309,240,0.593739
203,177,309,241,0.600007
203,179,309,243,0.593549
203,180,309,244,0.577351
203,181,309,245,0.563949
201,182,308,246,0.561416
201,182,308,246,0.574208
199,182,306,246,0.573674
199,182,306,246,0.559663
198,182,305,246,0.555688
197,183,304,247,0.551033
196,182,304,247,0.575841
195,181,303,246,0.583240
195,180,303,245,0.607882
193,178,302,244,0.601818
193,177,302,243,0.586190
191,176,301,242,0.599251
190,174,300,240,0.571532
189,173,299,239,0.568620
187,171,297,237,0.639019
188,171,297,237,0.599823
185,169,294,235,0.597277
186,169,295,235,0.570334
184,168,293,234,0.570049
184,167,293,233,0.548943
182,166,290,232,0.549060
180,165,288,231,0.557291
181,164,289,230,0.550979
180,163,288,229,0.549215
178,162,287,229,0.539861
179,160,287,227,0.546140
177,160,285,227,0.535655
177,159,284,225,0.541418
176,158,283,224,0.545809
174,158,280,224,0.496871
173,156,279,222,0.467365
172,156,278,222,0.469539
170,155,276,221,0.459575
168,154,273,219,0.484097
167,155,271,219,0.476279
165,153,269,217,0.482823
165,153,268,217,0.509677
164,152,265,215,0.526981
164,151,265,214,0.536537
164,150,265,213,0.541374
163,149,264,212,0.535889
164,150,264,212,0.532660
163,149,262,210,0.514615
163,149,262,210,0.509262
161,147,260,208,0.502236
161,146,260,207,0.505274
160,146,259,207,0.492672
163,145,262,206,0.462744
162,145,262,206,0.486431
161,142,263,204,0.491859
161,142,267,207,0.485498
158,140,264,205,0.486671
156,139,262,205,0.469398
153,140,260,207,0.456178
153,138,261,206,0.420451
153,138,263,207,0.391468
151,136,263,206,0.392074
153,136,268,207,0.394671
156,136,271,207,0.404250
156,135,273,207,0.422947
161,135,277,206,0.358123
162,134,280,206,0.369343
165,133,288,208,0.355728
139,139,242,202,0.415545
138,138,240,201,0.413697
137,138,239,201,0.448991
135,138,238,202,0.457627
136,139,240,204,0.409151
139,138,244,204,0.384157
139,138,247,206,0.366026
138,137,249,207,0.355756
137,136,250,207,0.392848
109,133,212,196,0.511423
107,132,212,196,0.523978
104,132,210,197,0.529732
104,132,211,198,0.533487
105,131,213,198,0.520387
107,132,215,199,0.519250
108,130,216,197,0.519104
111,131,219,198,0.491251
114,129,222,197,0.511767
120,128,228,196,0.521128
123,127,231,195,0.527696
126,125,234,193,0.540505
130,125,237,192,0.532604
134,124,240,190,0.527995
138,124,244,190,0.510716
142,123,248,189,0.489368
147,122,252,187,0.482049
149,122,254,187,0.463353
154,121,259,186,0.483695
